taxon;age;details;formal_substage_or_regional_stage;species;notes;max;min;midpoint;locality;stratigraphy;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Platysomus_superbus;Visean;mid Visean;early Asbian;"B1 ammonoid zone	 TC palynozon; spans Holkerian-Asbian boundary";;342;332	5;337	25;Eskdale	 Glencartholm	 Scotland;Glencartholm Volcanic Member	 Yoredale Group	 Tyne Limestone Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polypterus_bichir;Holocene;;;;;0;0;0;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porolepis_sp.;Pragian-Emsian;;;;long-ranging genus;412	4;394	3;403	35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Propterus_elongatus;Tithonian;lower Tithonian;lower Tithonian;;;149	2;145;147	1;Solnhofen	Eichstätt region of Bavaria	 Germany;Lithographic Limestone	 Solnhofen Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Psarolepis_romeri;Lochkovian;late Lochkovian;;;;419;412	4;415	7;Xichong	 Qujing	 East Yunnan	 China;lower part of Xitun Formation	 Cuifengshan Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pteronisculus_stensioi;Induan;lower–upper Griesbachian ;;Methophiceras subdemissum	 Ophiceras (Lytophiceras) commune	 Wordieoceras decipiens ammonoid zones;;251	9;250	5;251	2;Cape Stosch	 Hold-with-Hope	 Greenland;Pyramiden member	 Wordie Creek Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raynerius_splendens;Famennian;;;lowermost Ag. triangularis conodont zone	  equivalent to late Palmatolepis hassi conoonnt zone;;370	9;370	7;370	8;La Parisienne quarry	 Pas-de-Calais	 France;Grey Member	 Ferques Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sargodon_tomicus;Norian-Rhaetian;middle/upper Norian to Rhaetian;;;long-ranging genus;227	3;201	36;214	33;"Lombardy; Zogno; Rhaetic Bone Beds of England	 France	 Germany; Cene Quarry; Berbenno Quarry; Giffoni	 Salerno	 S.Italy";"Zorzino Limestone Formation	 Aralalta Group; Rhaetic Bone Beds; Riva di Solto";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saurichthys_madagascarensis;Induan-Olenekian;;middle Dienerian to early Smithian ;;;250	5;248	1;249	3;"Ambibole Basin	 NW Madagascar; Sakeny	 Morondava Basin	 SW Madagascar";"NW: ‘Couches a Poissons et a Ammonites’ (‘Fish and Ammonite Beds’) of the Sakamena Group; SW: Middle Sakamena Formation";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scanilepis_dubia;Rhaetian;upper Rhaetian;;;;209	5;201	4;205	45;Skane	 Sweden;Bjuv Member	 Höganäs Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
